Date : 2022-03-23 16:42:54
Directory : /home/ubuntu/IB2TF
Total : 80 files,  2571 codes, 139 comments, 439 blanks, all 3149 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         27 |      1,859 |        139 |        153 |      2,151 |
| Markdown |         41 |        638 |          0 |        261 |        899 |
| Makefile |          2 |         64 |          0 |         25 |         89 |
| JSON     |         10 |         10 |          0 |          0 |         10 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |         80 |      2,571 |        139 |        439 |      3,149 |
| Src                                                                                   |         21 |      1,510 |        131 |        109 |      1,750 |
| Src/Base                                                                              |          9 |        681 |          9 |         44 |        734 |
| Src/Base/Advance                                                                      |          2 |        180 |          9 |         13 |        202 |
| Src/Base/Advance/Lax                                                                  |          1 |         68 |          9 |          6 |         83 |
| Src/Base/Advance/MUSCL                                                                |          1 |        112 |          0 |          7 |        119 |
| Src/Base/Common                                                                       |          2 |         69 |          0 |          7 |         76 |
| Src/Base/Riemann                                                                      |          2 |        378 |          0 |         17 |        395 |
| Src/Base/Riemann/HLL                                                                  |          1 |         99 |          0 |          7 |        106 |
| Src/Base/Riemann/PVRS                                                                 |          1 |        279 |          0 |         10 |        289 |
| Src/Base/Slope_limiter                                                                |          3 |         54 |          0 |          7 |         61 |
| Src/Base/Slope_limiter/VanAlbada                                                      |          1 |         18 |          0 |          2 |         20 |
| Src/Base/Slope_limiter/VanLeer                                                        |          1 |         18 |          0 |          2 |         20 |
| Src/Base/Slope_limiter/minmod                                                         |          1 |         18 |          0 |          3 |         21 |
| Src/BoundaryCondition                                                                 |          5 |        447 |         84 |         31 |        562 |
| Src/BoundaryCondition/BaseGFM                                                         |          2 |        216 |         69 |         15 |        300 |
| Src/BoundaryCondition/Regular                                                         |          1 |         52 |         13 |          5 |         70 |
| Src/BoundaryCondition/SimpleBound                                                     |          2 |        179 |          2 |         11 |        192 |
| Src/Geometry                                                                          |          3 |        175 |          3 |         16 |        194 |
| Src/Utils                                                                             |          4 |        207 |         35 |         18 |        260 |
| Test                                                                                  |         58 |      1,059 |          8 |        329 |      1,396 |
| Test/InclineSod                                                                       |         29 |        545 |          5 |        164 |        714 |
| Test/InclineSod/.VSCodeCounter                                                        |         25 |        323 |          0 |        130 |        453 |
| Test/InclineSod/.VSCodeCounter/2022-03-17_11-05-02                                    |          5 |         61 |          0 |         26 |         87 |
| Test/InclineSod/.VSCodeCounter/2022-03-17_11-13-29                                    |          5 |         62 |          0 |         26 |         88 |
| Test/InclineSod/.VSCodeCounter/2022-03-17_11-24-25                                    |          5 |         61 |          0 |         26 |         87 |
| Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-16                                    |          5 |         83 |          0 |         26 |        109 |
| Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-38                                    |          5 |         56 |          0 |         26 |         82 |
| Test/Sod                                                                              |         29 |        514 |          3 |        165 |        682 |
| Test/Sod/.VSCodeCounter                                                               |         25 |        323 |          0 |        130 |        453 |
| Test/Sod/.VSCodeCounter/2022-03-17_11-05-02                                           |          5 |         61 |          0 |         26 |         87 |
| Test/Sod/.VSCodeCounter/2022-03-17_11-13-29                                           |          5 |         62 |          0 |         26 |         88 |
| Test/Sod/.VSCodeCounter/2022-03-17_11-24-25                                           |          5 |         61 |          0 |         26 |         87 |
| Test/Sod/.VSCodeCounter/2022-03-18_19-33-16                                           |          5 |         83 |          0 |         26 |        109 |
| Test/Sod/.VSCodeCounter/2022-03-18_19-33-38                                           |          5 |         56 |          0 |         26 |         82 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                              | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/ubuntu/IB2TF/README.md                                                          | Markdown |          2 |          0 |          1 |          3 |
| /home/ubuntu/IB2TF/Src/Base/Advance/Lax/Lax_Scheme.cpp                                | C++      |         68 |          9 |          6 |         83 |
| /home/ubuntu/IB2TF/Src/Base/Advance/MUSCL/MUSCL_Scheme.cpp                            | C++      |        112 |          0 |          7 |        119 |
| /home/ubuntu/IB2TF/Src/Base/Common/ComputeDt.cpp                                      | C++      |         37 |          0 |          3 |         40 |
| /home/ubuntu/IB2TF/Src/Base/Common/Conserve2Flux.cpp                                  | C++      |         32 |          0 |          4 |         36 |
| /home/ubuntu/IB2TF/Src/Base/Riemann/HLL/Riemann_solver.cpp                            | C++      |         99 |          0 |          7 |        106 |
| /home/ubuntu/IB2TF/Src/Base/Riemann/PVRS/Riemann_solver.cpp                           | C++      |        279 |          0 |         10 |        289 |
| /home/ubuntu/IB2TF/Src/Base/Slope_limiter/VanAlbada/Slope_limiter.cpp                 | C++      |         18 |          0 |          2 |         20 |
| /home/ubuntu/IB2TF/Src/Base/Slope_limiter/VanLeer/Slope_limiter.cpp                   | C++      |         18 |          0 |          2 |         20 |
| /home/ubuntu/IB2TF/Src/Base/Slope_limiter/minmod/Slope_limiter.cpp                    | C++      |         18 |          0 |          3 |         21 |
| /home/ubuntu/IB2TF/Src/BoundaryCondition/BaseGFM/GFM_Bound.cpp                        | C++      |        106 |         40 |          8 |        154 |
| /home/ubuntu/IB2TF/Src/BoundaryCondition/BaseGFM/GFM_Method.cpp                       | C++      |        110 |         29 |          7 |        146 |
| /home/ubuntu/IB2TF/Src/BoundaryCondition/Regular/RegularBound.cpp                     | C++      |         52 |         13 |          5 |         70 |
| /home/ubuntu/IB2TF/Src/BoundaryCondition/SimpleBound/LS_SimpleBound.cpp               | C++      |        116 |          2 |          7 |        125 |
| /home/ubuntu/IB2TF/Src/BoundaryCondition/SimpleBound/Scheme_Index.cpp                 | C++      |         63 |          0 |          4 |         67 |
| /home/ubuntu/IB2TF/Src/Geometry/Level_Set.cpp                                         | C++      |        120 |          2 |         11 |        133 |
| /home/ubuntu/IB2TF/Src/Geometry/Mirror_IDX.cpp                                        | C++      |         29 |          1 |          3 |         33 |
| /home/ubuntu/IB2TF/Src/Geometry/Psy_coord.cpp                                         | C++      |         26 |          0 |          2 |         28 |
| /home/ubuntu/IB2TF/Src/Utils/ParamReader.cpp                                          | C++      |         67 |          2 |          9 |         78 |
